"Date","Sample Location","Time1","VOCs1 (ppm)","Temp1 (°F)","Humidity1 (%)","Observations1","Time2","VOCs2 (ppm)","Temp2 (°F)","Humidity2 (%)","Observations2","Time3","VOCs3 (ppm)","Temp3 (°F)","Humidity3 (%)","Observations3"
"09/14/2018","Sprinkler control valve room"," 08:08:00","<0.1","76.8","82.0",," 16:24:00","<0.1","78.6","72.6",,"22:01:00","<0.1","77.2","74.6",
"09/08/2018","13th Floor"," 10:20:00","0.3*","81.3","47.2","Vent cleaning in progress"," 15:34:00","1.4","80.6","45.7","Cooking ( bad burnt odor)","22:50:00","0.6","79.3","55.4"," Smoking"
"09/11/2018","Compactor Room",,"<0.1","68.9","88.1",," 16:10:00","0.2","76.7","80",,,,,,
"09/09/2018","Main area"," 08:16:00","<0.1","62.4","78.6",," 15:26:00","<0.1","71.2","66.5",,"10:25:00","<0.1","69.7","60.2",
"09/09/2018","Hallway"," 08:40:00","<0.1","63.8","81.9","Door open to outside"," 16:00:00","0.2","72.9","70.4",,"10:30:00","<0.1","67","68.3",
"09/13/2018","16th Floor"," 08:20:00","0.1","77.4","74.6","hallway door to roof open"," 16:17:00","0.1","77.9","76.2","hallway door to roof open","22:39:00","0.1","76.8","79.6","hallway door to roof open"
"09/11/2018","6th Floor",,"0.4","75.8","73.5",," 16:33:00","1.1**","76.6","80.1",,,,,,
"09/08/2018","3rd Floor"," 10:40:00","0.8","81.2","52.4","Strong cooking odor on floor"," 15:44:00","0.5","80.8","44.2","Food smell","22:57:00","0.5","79.9","52.5",
"09/08/2018","Elevator 1 (R)"," 10:10:00","0.1","74.8","62.9",,,"0.1","80.3","46.2",,"22:46:00","0.1","72.8","66.1",
"09/13/2018","Electric meter room"," 08:11:00","<0.1","74.5","87.7",," 16:10:00","<0.1","76.9","83.9",,"22:06:00","<0.1","75.9","89.8",
"09/13/2018","Main area"," 08:09:00","<0.1","71.5","94.8",," 16:10:00","<0.1","75.8","84.7",,"22:06:00","<0.1","73.7","88.5",
"09/08/2018","Storage room"," 09:57:00","<0.1","72","64.2",," 15:53:00","0.2","78.1","52.9",,"23:05:00","0.2","75.1","66.4",
"09/11/2018","8th Floor",,"0.3","75.7","74.1",," 16:30:00","0.3","76.6","76.9",,,,,,
"09/09/2018","Compactor Room"," 08:24:00","<0.1","68.8","62.9",," 15:26:00","<0.1","72.3","67.4",,"10:25:00","<0.1","71.3","63.5",
"09/14/2018","10th Floor"," 08:35:00","0.2","78.3","72.9",," 16:45:00","0.1","75.7","70.2",,"22:17:00","0.2","78.6","66.7",
"09/11/2018","15th Floor",,"0.2","75.4","75.1",," 16:20:00","0.3","76.9","76.6",,,,,,
"09/11/2018","Office",,"<0.1","74.8","85.6",," 16:09:00","<0.1","77.2","77.8",,,,,,
"09/14/2018","Boiler/tank room"," 08:11:00","<0.1","82.4","76.4",," 16:26:00","<0.1","82.6","72.8",,"22:02:00","<0.1","81.4","71.6",
"09/12/2018","Gas meter room"," 11:20:00","<0.1","77",,"1899-12-31T16:13:00","<0.1","77.9",,"1899-12-31T22:18:00","<0.1","77.2",,,,
"09/09/2018","Exman room"," 08:19:00","<0.1","71.9","61.6",,"--","--","--","--","No access",,,,,"No access"
"09/09/2018","Boiler/tank room"," 08:22:00","<0.1","74.3","68.2",," 15:20:00","<0.1","76.2","72.4",,"10:24:00","<0.1","73.2","64.9",
"09/07/2018","13th Floor",,"0.4",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"09/11/2018","2nd Floor",,"0.3","75.6","73.8",," 16:38:00","0.3","76.4","77.1",,,,,,
"09/07/2018","8th Floor",,"0.4",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"09/14/2018","2nd Floor"," 08:46:00","0.2","78.6","68.1",," 16:59:00","0.2","78.9","66.1",,"22:27:00","0.5","79","60.6","paint odor"
"09/09/2018","Elevator 2 (L)"," 08:56:00","0.3","70.6","58.3","Odor"," 16:38:00","0.4","73.6","66.7","Odor","10:53:00","0.3","74.7","66.4","Odor"
"09/07/2018","10th Floor",,"0.3",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"09/08/2018","Main area"," 09:55:00","<0.1","72","64.2",," 15:50:00","<0.1","70.8","56.2",,"23:03:00","<0.1","69.6","72.4",
"09/14/2018","6th Floor"," 08:40:00","0.2","78.2","71.4",," 16:51:00","0.1","78.7","66.8",,"22:23:00","0.5","78.5","65.8","1.2ppm  by apt. 6G"
"09/11/2018","Hallway",,"<0.1","72.2","81.9",," 16:12:00","0.1","77","84.9",,,,,,
"09/12/2018","16th Floor"," 11:31:00","0.4","78.3","food odor","1899-12-31T16:25:00","0.2","78.7",,"1899-12-31T22:23:00","0.2","78.5",,,,
"09/09/2018","Electric meter room"," 08:17:00","<0.1","66.1","78.6",," 15:23:00","<0.1","73.5","63.5",,"10:15:00","<0.1","66","79.9",
"09/14/2018","12th Floor"," 08:30:00","0.2","77.8","73.4",," 16:40:00","0.1","78.5","67.9",,"22:13:00","0.3","78.9","65.9",
"09/08/2018","14th Floor"," 10:19:00","0.2","80.8","49.5","Cleaning"," 15:33:00","0.2","80.2","44.3",,"22:50:00","0.3","79","55.0",
"09/09/2018","Storage room"," 08:19:00","<0.1","68.3","74.0",," 15:26:00","<0.1","70.7","64.3",,"10:15:00","<0.1","62","79.9",
"09/12/2018","Office"," 11:21:00","<0.1","80",,"1899-12-31T16:14:00","<0.1","81.2",,"1899-12-31T22:18:00","<0.1","81.9",,,,
"09/14/2018","3rd Floor"," 08:45:00","0.2","78.1","73.7",," 16:57:00","0.2","78.7","69.9",,"22:26:00","0.4","78.6","66.4","food odor"
"09/08/2018","15th Floor"," 10:16:00","0.3","80.5","53.0","Cleaning"," 15:32:00","0.2","80.3","46.7",,"22:49:00","0.3","78.4","56.9",
"09/14/2018","15th Floor"," 08:27:00","0.2","78.3","72.4",," 16:36:00","0.1","78.9","67.2",,"22:08:00","0.2","77.9","68.9",
"09/08/2018","Slop sink room"," 10:10:00","0.1","74.1","84.2",," 15:28:00","0.1","74.9","60.5",,"--","--","--","--","No access"
"09/13/2018","12th Floor"," 08:23:00","0.2","77.6","75.5",," 16:22:00","0.2","78.3","75.2",,"22:52:00","0.2","78.6","74.1",
"09/14/2018","Elevator 1 (R)"," 08:23:00","0.1","78.2","75.3",," 16:24:00","0.1","79.8","70.4",,"22:29:00","0.3","79.1","67.3","strong odor"
"09/12/2018","Hallway"," 11:28:00","<0.1","78.1",,"1899-12-31T16:20:00","<0.1","77.7",,"1899-12-31T22:21:00","<0.1","77.9",,,,
"09/09/2018","Office"," 08:23:00","<0.1","75.2","62.9",," 15:20:00","<0.1","72.2","72.4",,"10:25:00","<0.1","70.4","68.5",
"09/11/2018","7th Floor",,"0.3","75.7","72.6",," 16:32:00","0.3","76.2","75.7",,,,,,
"09/07/2018","5th Floor",,"0.5",,,"high temperature, humid, poor ventillation, stagnant air ",,,,,,,,,,
"09/08/2018","Gas meter room"," 10:01:00","<0.1","79","62.1",," 15:54:00","<0.1","79.9","50.7",,"23:06:00","<0.1","78.1","61.6",
"09/13/2018","Hallway"," 08:12:00","<0.1","76.8","86.3",," 16:11:00","<0.1","77.7","81.9",,"22:07:00","<0.1","77.8","82",
"09/09/2018","12th Floor"," 08:44:00","0.3","76.2","57.1",," 16:18:00","0.4","78.2","59.6","Cooking Odor","10:39:00","0.5","76.5","56.1","Smoking Odor"
"09/11/2018","12th Floor",,"0.3","75.4","74.2",," 16:25:00","0.3","76.7","76.8",,,,,,
"09/11/2018","Sprinkler control valve room",,"<0.1","72.1","84.7",," 16:05:00","0.1","76.7","77.2",,,,,,
"09/09/2018","Sprinkler control valve room"," 08:20:00","<0.1","70.5","68.3",," 15:21:00","<0.1","75.0","66.1",,"10:21:00","<0.1","70.1","68.3",
